itjuzi_id,itjuzi_name,haituo_name,haituo_id,isrepeat
5253,加锐投资,查无,,
5254,民兴投资,查无,,
5255,磊鑫投资,查无,,
5256,雅银投资,雅银投资,24561,
5257,福蔚投资,查无,,
5258,玖石投资,查无,,
5259,石天资本,石天资本,4658,
5260,统勤投资,查无,,
5261,泰迪投资,查无,,
5262,泰默投资,查无,,
5263,银石合富,查无,,
5264,睿合广润,深圳市睿合广润创业投资管理合伙企业（有限合伙）,24355,
5265,商融创投,查无,,
5266,中证大道,浙江中证大道股权投资管理有限公司,13779,
5267,马良资本,马良资本,3376,
5268,众英桥投资,众英桥投资,28398,
5269,永信创富,查无,,
5270,瀚锦投资,瀚锦投资,28526,
5271,瑞同投资,查无,,
5272,泓亿投资,查无,,
5273,锦源永泰,查无,,
5274,裕元资本管理集团,查无,,
5275,中电健康基金,查无,,
5276,民生商联,查无,,
5277,苏州泓域投资,查无,,
5278,盛联投资,查无,,
5279,大正元投资,山西大正元投资咨询有限公司,23969,
5280,乾源投资,乾源资本,846,
5281,比中基金,查无,,
5282,道泓股权投资,天津道泓股权投资基金有限公司,24501,
5283,河北产业投资,查无,,
5284,慧联投资,查无,,
5285,怡诚创投,查无,,
5286,富华永安,查无,,
5287,日信集团,查无,,
5288,环球银证,查无,,
5289,高能华东投资,苏州高能华东有色股权投资管理合伙企业（有限合伙）,24580,
5290,东电投资,查无,,
5291,台元创投,查无,,
5292,徐工投资,查无,,
5293,金点投资,查无,,
5294,天一资本,查无,,
5295,安城投资,查无,,
5296,马鞍山工投,查无,,
5297,大都会创投,查无,,
5298,财富创投,查无,,
5299,元气资本,元气资本,3393,
5300,西咸发展基金,查无,,
5301,汉明达基金,查无,,
5302,国创开元母基金,查无,,
5303,中晨维金,中晨维金,29292,
5304,中原资产(中原股权投资),中原资产(中原股权投资),3374,
5305,钱江风投,查无,,
5307,京富融源,查无,,
5308,汇嘉创投,查无,,
5309,永邦投资,查无,,
5310,智玺股权投资,查无,,
5311,河山资本,查无,,
5312,万锐投资,查无,,
5313,扬子投资,扬子投资,3583,
5314,明道投资,宁波鼎锋明道投资管理合伙企业（有限合伙）,23999,
